aula,resolucion,situacion,coleccion,codigo,asignatura,programa,notas_existentes,con_nota,de_systemactiva,editadas_a_mano,acta_cerrada,conflicto_con_oferta
92,OK,NUEVA,MBA Full EN,MBA 600,Managerial Economics,Master of Business Administration,132,105,130,0,0,
93,OK,NUEVA,MBA Full EN,MBA 602,Quantitative and Qualitative Methods for Decision-Making,Master of Business Administration,132,112,129,1,2,
94,OK,NUEVA,MBA Full EN,MBA 603,Supply Chain Management,Master of Business Administration,137,113,112,25,12,
95,OK,NUEVA,MBA Full EN,MBA 601,International Business,Master of Business Administration,132,100,131,0,0,
96,OK,NUEVA,MBA Full EN,MBA 604,Information and Technology Management,Master of Business Administration,133,99,120,11,0,
97,OK,NUEVA,MBA Full EN,MBA 605,Financial Decision-Making,Master of Business Administration,133,88,130,2,0,
99,OK,NUEVA,MBA Full EN,MBA 606,Human Resources Management,Master of Business Administration,134,90,133,0,0,
100,OK,NUEVA,MBA Full EN,MBA 607,Advanced Project Management,Master of Business Administration,133,88,132,0,0,
101,OK,NUEVA,MBA Full EN,MBA 608,Entrepreneurial Leadership,Master of Business Administration,132,94,132,0,0,
102,OK,NUEVA,MHMG Full EN,HMG 500,Managing Service Quality in Hospitality and Tourism,Master of Science in Hospitality Management,25,23,25,0,0,
103,OK,NUEVA,MHMG Full EN,HMG 501,Strategic Marketing in Hospitality,Master of Science in Hospitality Management,25,23,25,0,0,
104,OK,NUEVA,MHMG Full EN,HMG 502, Organizational Behavior in the Hospitality Industry,Master of Science in Hospitality Management,26,24,18,8,6,
105,OK,NUEVA,MHMG Full EN,HMG 600,Hospitality and Tourism Information Technology,Master of Science in Hospitality Management,26,19,26,0,0,
106,OK,NUEVA,MHMG Full EN,HMG 504,Law and Ethics in Hospitality and Tourism,Master of Science in Hospitality Management,25,22,25,0,0,
107,OK,NUEVA,MHMG Full EN,HMG 603,Tourism Development,Master of Science in Hospitality Management,25,14,25,0,0,
108,OK,NUEVA,MHMG Full EN,HMG 503,Strategic Human Resources in Hospitality and Tourism,Master of Science in Hospitality Management,25,16,23,2,0,
109,OK,NUEVA,MHMG Full EN,HMG 602,Digital Marketing and Big Data Management for Hospitality and Tourism,Master of Science in Hospitality Management,25,14,25,0,0,
110,OK,NUEVA,MHMG Full EN,HMG 601,Hospitality Entrepreneurship,Master of Science in Hospitality Management,25,23,25,0,0,
111,OK,NUEVA,MHMG Full EN,HMG 604,International Tourism Management,Master of Science in Hospitality Management,25,16,25,0,0,
112,OK,NUEVA,MHMG Full EN,HMG 605,Revenue Management for Hospitality and Tourism,Master of Science in Hospitality Management,24,17,24,0,0,
113,OK,NUEVA,MHCM Full EN,HCM605,Entrepreneurship in Healthcare Management,Master of Science in Healthcare Management,97,67,93,6,0,
114,OK,NUEVA,MHCM Full EN,HCM 604,Health Crisis Management,Master of Science in Healthcare Management,97,77,84,14,7,
115,OK,NUEVA,MHCM Full EN,HCM 602,Legal and Ethical Issues in Healthcare,Master of Science in Healthcare Management,97,83,97,3,0,
116,OK,NUEVA,MHCM Full EN,HCM 603,Hospital Management,Master of Science in Healthcare Management,98,85,97,2,1,
117,OK,NUEVA,MHCM Full EN,HCM 503,Healthcare Quality Assessment and Improvement,Master of Science in Healthcare Management,97,76,97,3,0,
118,OK,NUEVA,MHCM Full EN,HCM 600,Strategic Management of Healthcare Organizations,Master of Science in Healthcare Management,97,84,96,2,0,
119,OK,NUEVA,MHCM Full EN,HCM 504,Quality Improvement Using Health Informatics,Master of Science in Healthcare Management,96,69,96,2,0,
120,OK,NUEVA,MHCM Full EN,HCM 601,Healthcare Management for Executives,Master of Science in Healthcare Management,96,64,96,2,0,
121,OK,NUEVA,MHCM Full EN,HCM 502,Healthcare Policy Analysis,Master of Science in Healthcare Management,96,72,96,3,0,
122,OK,NUEVA,MHCM Full EN,HCM 501,Organization Theory and Behavior in Healthcare,Master of Science in Healthcare Management,97,75,97,3,0,
124,OK,NUEVA,MHCM Full EN,HCM 500,Healthcare Systems,Master of Science in Healthcare Management,97,69,97,2,0,
126,OK,ya importaba,BBA Upgrade ES,PMB 270,Project Management,Bachelor of Science in Business Administration,589,505,474,113,0,
129,OK,ya importaba,BBA Upgrade ES,PSY 106,General Psychology,Bachelor of Science in Business Administration,601,548,597,0,1,
131,OK,ya importaba,BBA Upgrade ES,TAX 300,Taxation,Bachelor of Science in Business Administration,584,409,580,0,0,
132,OK,NUEVA,BBA Upgrade ES,CAP 480,Capstone Project,Bachelor of Science in Business Administration,334,130,334,0,0,
134,OK,ya importaba,BBA Upgrade ES,BUS 350,Public Administration,Bachelor of Science in Business Administration,350,222,344,1,0,
135,OK,ya importaba,BBA Upgrade ES,BUS 430,Emerging Technologies,Bachelor of Science in Business Administration,346,274,268,34,0,
136,OK,ya importaba,BBA Upgrade ES,COM 450,Business and Professional Communication,Bachelor of Science in Business Administration,347,266,340,7,0,
137,OK,ya importaba,BBA Upgrade ES,STA 460,Advanced Statistics,Bachelor of Science in Business Administration,348,254,340,0,0,
138,OK,ya importaba,BBA Upgrade ES,ENG 440,Professional Writing in Business,Bachelor of Science in Business Administration,339,217,335,0,0,
148,OK,NUEVA,BAC Upgrade ES,ACC 450,Accounting Capstone Project,Bachelor of Arts in Accounting,73,24,73,0,0,
151,OK,ya importaba,BAC Upgrade ES,COM 450,Business and Professional Communication,Bachelor of Arts in Accounting,77,63,75,0,0,
152,OK,ya importaba,BAC Upgrade ES,ACC 430,Accounting Analytics,Bachelor of Arts in Accounting,75,66,56,14,0,
153,OK,ya importaba,BAC Upgrade ES,ACC 370,Financial Accounting for Governmental and Nonprofit Organizations,Bachelor of Arts in Accounting,73,50,73,0,0,
